"","from","to","data","from_year","to_year","from_month","to_month","from_day","to_day"
"1",2004-01-11,2004-01-17,2,2004,2004,1,1,11,17
"2",2004-01-18,2004-01-24,2,2004,2004,1,1,18,24
"3",2004-01-25,2004-01-31,2,2004,2004,1,1,25,31
"4",2004-02-01,2004-02-07,2,2004,2004,2,2,1,7
"5",2004-02-08,2004-02-14,2,2004,2004,2,2,8,14
"6",2004-02-15,2004-02-21,2,2004,2004,2,2,15,21
"7",2004-02-22,2004-02-28,2,2004,2004,2,2,22,28
"8",2004-02-29,2004-03-06,2,2004,2004,2,3,29,6
"9",2004-03-07,2004-03-13,2,2004,2004,3,3,7,13
"10",2004-03-14,2004-03-20,2,2004,2004,3,3,14,20
"11",2004-03-21,2004-03-27,2,2004,2004,3,3,21,27
"12",2004-03-28,2004-04-03,2,2004,2004,3,4,28,3
"13",2004-04-04,2004-04-10,2,2004,2004,4,4,4,10
"14",2004-04-11,2004-04-17,2,2004,2004,4,4,11,17
"15",2004-04-18,2004-04-24,2,2004,2004,4,4,18,24
"16",2004-04-25,2004-05-01,2,2004,2004,4,5,25,1
"17",2004-05-02,2004-05-08,2,2004,2004,5,5,2,8
"18",2004-05-09,2004-05-15,2,2004,2004,5,5,9,15
"19",2004-05-16,2004-05-22,2,2004,2004,5,5,16,22
"20",2004-05-23,2004-05-29,2,2004,2004,5,5,23,29
"21",2004-05-30,2004-06-05,2,2004,2004,5,6,30,5
"22",2004-06-06,2004-06-12,2,2004,2004,6,6,6,12
"23",2004-06-13,2004-06-19,2,2004,2004,6,6,13,19
"24",2004-06-20,2004-06-26,2,2004,2004,6,6,20,26
"25",2004-06-27,2004-07-03,2,2004,2004,6,7,27,3
"26",2004-07-04,2004-07-10,2,2004,2004,7,7,4,10
"27",2004-07-11,2004-07-17,2,2004,2004,7,7,11,17
"28",2004-07-18,2004-07-24,2,2004,2004,7,7,18,24
"29",2004-07-25,2004-07-31,2,2004,2004,7,7,25,31
"30",2004-08-01,2004-08-07,2,2004,2004,8,8,1,7
"31",2004-08-08,2004-08-14,2,2004,2004,8,8,8,14
"32",2004-08-15,2004-08-21,2,2004,2004,8,8,15,21
