Web Search interest: inflation
Canada; 2004 - present

Interest over time
Week,inflation
2004-01-04 - 2004-01-10,0
2004-01-11 - 2004-01-17,51
2004-01-18 - 2004-01-24,65
2004-01-25 - 2004-01-31,54
2004-02-01 - 2004-02-07,50
2004-02-08 - 2004-02-14,63
2004-02-15 - 2004-02-21,56
2004-02-22 - 2004-02-28,56
2004-02-29 - 2004-03-06,60
2004-03-07 - 2004-03-13,65
2004-03-14 - 2004-03-20,69
2004-03-21 - 2004-03-27,53
2004-03-28 - 2004-04-03,53
2004-04-04 - 2004-04-10,77
2004-04-11 - 2004-04-17,100
2004-04-18 - 2004-04-24,44
2004-04-25 - 2004-05-01,62
2004-05-02 - 2004-05-08,52
2004-05-09 - 2004-05-15,72
2004-05-16 - 2004-05-22,58
2004-05-23 - 2004-05-29,51
2004-05-30 - 2004-06-05,51
2004-06-06 - 2004-06-12,45
2004-06-13 - 2004-06-19,46
2004-06-20 - 2004-06-26,48
2004-06-27 - 2004-07-03,44
2004-07-04 - 2004-07-10,44
2004-07-11 - 2004-07-17,44
2004-07-18 - 2004-07-24,44
2004-07-25 - 2004-07-31,44
2004-08-01 - 2004-08-07,46
2004-08-08 - 2004-08-14,47
2004-08-15 - 2004-08-21,48
2004-08-22 - 2004-08-28,44
2004-08-29 - 2004-09-04,44
2004-09-05 - 2004-09-11,44
2004-09-12 - 2004-09-18,44
2004-09-19 - 2004-09-25,44
2004-09-26 - 2004-10-02,57
2004-10-03 - 2004-10-09,74
2004-10-10 - 2004-10-16,61
2004-10-17 - 2004-10-23,47
2004-10-24 - 2004-10-30,78
2004-10-31 - 2004-11-06,41
2004-11-07 - 2004-11-13,64
2004-11-14 - 2004-11-20,43
2004-11-21 - 2004-11-27,61
2004-11-28 - 2004-12-04,79
2004-12-05 - 2004-12-11,41
2004-12-12 - 2004-12-18,33
2004-12-19 - 2004-12-25,34
2004-12-26 - 2005-01-01,35
2005-01-02 - 2005-01-08,36
2005-01-09 - 2005-01-15,40
2005-01-16 - 2005-01-22,61
2005-01-23 - 2005-01-29,52
2005-01-30 - 2005-02-05,35
2005-02-06 - 2005-02-12,35
2005-02-13 - 2005-02-19,52
2005-02-20 - 2005-02-26,42
2005-02-27 - 2005-03-05,41
2005-03-06 - 2005-03-12,53
2005-03-13 - 2005-03-19,63
2005-03-20 - 2005-03-26,76
2005-03-27 - 2005-04-02,53
2005-04-03 - 2005-04-09,55
2005-04-10 - 2005-04-16,70
2005-04-17 - 2005-04-23,39
2005-04-24 - 2005-04-30,33
2005-05-01 - 2005-05-07,43
2005-05-08 - 2005-05-14,48
2005-05-15 - 2005-05-21,48
2005-05-22 - 2005-05-28,44
2005-05-29 - 2005-06-04,30
2005-06-05 - 2005-06-11,29
2005-06-12 - 2005-06-18,43
2005-06-19 - 2005-06-25,31
2005-06-26 - 2005-07-02,35
2005-07-03 - 2005-07-09,43
2005-07-10 - 2005-07-16,29
2005-07-17 - 2005-07-23,32
2005-07-24 - 2005-07-30,54
2005-07-31 - 2005-08-06,51
2005-08-07 - 2005-08-13,51
2005-08-14 - 2005-08-20,51
2005-08-21 - 2005-08-27,52
2005-08-28 - 2005-09-03,53
2005-09-04 - 2005-09-10,31
2005-09-11 - 2005-09-17,33
2005-09-18 - 2005-09-24,63
2005-09-25 - 2005-10-01,40
2005-10-02 - 2005-10-08,82
2005-10-09 - 2005-10-15,57
2005-10-16 - 2005-10-22,52
2005-10-23 - 2005-10-29,43
2005-10-30 - 2005-11-05,48
2005-11-06 - 2005-11-12,62
2005-11-13 - 2005-11-19,87
2005-11-20 - 2005-11-26,57
2005-11-27 - 2005-12-03,69
2005-12-04 - 2005-12-10,58
2005-12-11 - 2005-12-17,31
2005-12-18 - 2005-12-24,38
2005-12-25 - 2005-12-31,33
2006-01-01 - 2006-01-07,33
2006-01-08 - 2006-01-14,28
2006-01-15 - 2006-01-21,55
2006-01-22 - 2006-01-28,39
2006-01-29 - 2006-02-04,42
2006-02-05 - 2006-02-11,42
2006-02-12 - 2006-02-18,46
2006-02-19 - 2006-02-25,49
2006-02-26 - 2006-03-04,47
2006-03-05 - 2006-03-11,58
2006-03-12 - 2006-03-18,67
2006-03-19 - 2006-03-25,60
2006-03-26 - 2006-04-01,54
2006-04-02 - 2006-04-08,59
2006-04-09 - 2006-04-15,57
2006-04-16 - 2006-04-22,46
2006-04-23 - 2006-04-29,50
2006-04-30 - 2006-05-06,53
2006-05-07 - 2006-05-13,47
2006-05-14 - 2006-05-20,59
2006-05-21 - 2006-05-27,38
2006-05-28 - 2006-06-03,51
2006-06-04 - 2006-06-10,43
2006-06-11 - 2006-06-17,68
2006-06-18 - 2006-06-24,41
2006-06-25 - 2006-07-01,52
2006-07-02 - 2006-07-08,25
2006-07-09 - 2006-07-15,25
2006-07-16 - 2006-07-22,47
2006-07-23 - 2006-07-29,45
2006-07-30 - 2006-08-05,30
2006-08-06 - 2006-08-12,37
2006-08-13 - 2006-08-19,35
2006-08-20 - 2006-08-26,31
2006-08-27 - 2006-09-02,38
2006-09-03 - 2006-09-09,26
2006-09-10 - 2006-09-16,37
2006-09-17 - 2006-09-23,31
2006-09-24 - 2006-09-30,37
2006-10-01 - 2006-10-07,57
2006-10-08 - 2006-10-14,39
2006-10-15 - 2006-10-21,48
2006-10-22 - 2006-10-28,41
2006-10-29 - 2006-11-04,41
2006-11-05 - 2006-11-11,42
2006-11-12 - 2006-11-18,36
2006-11-19 - 2006-11-25,42
2006-11-26 - 2006-12-02,70
2006-12-03 - 2006-12-09,47
2006-12-10 - 2006-12-16,38
2006-12-17 - 2006-12-23,44
2006-12-24 - 2006-12-30,33
2006-12-31 - 2007-01-06,33
2007-01-07 - 2007-01-13,38
2007-01-14 - 2007-01-20,53
2007-01-21 - 2007-01-27,72
2007-01-28 - 2007-02-03,52
2007-02-04 - 2007-02-10,48
2007-02-11 - 2007-02-17,47
2007-02-18 - 2007-02-24,46
2007-02-25 - 2007-03-03,38
2007-03-04 - 2007-03-10,45
2007-03-11 - 2007-03-17,41
2007-03-18 - 2007-03-24,51
2007-03-25 - 2007-03-31,54
2007-04-01 - 2007-04-07,51
2007-04-08 - 2007-04-14,44
2007-04-15 - 2007-04-21,50
2007-04-22 - 2007-04-28,49
2007-04-29 - 2007-05-05,39
2007-05-06 - 2007-05-12,36
2007-05-13 - 2007-05-19,52
2007-05-20 - 2007-05-26,38
2007-05-27 - 2007-06-02,48
2007-06-03 - 2007-06-09,45
2007-06-10 - 2007-06-16,48
2007-06-17 - 2007-06-23,35
2007-06-24 - 2007-06-30,38
2007-07-01 - 2007-07-07,29
2007-07-08 - 2007-07-14,45
2007-07-15 - 2007-07-21,42
2007-07-22 - 2007-07-28,38
2007-07-29 - 2007-08-04,35
2007-08-05 - 2007-08-11,32
2007-08-12 - 2007-08-18,37
2007-08-19 - 2007-08-25,33
2007-08-26 - 2007-09-01,36
2007-09-02 - 2007-09-08,30
2007-09-09 - 2007-09-15,36
2007-09-16 - 2007-09-22,41
2007-09-23 - 2007-09-29,50
2007-09-30 - 2007-10-06,46
2007-10-07 - 2007-10-13,46
2007-10-14 - 2007-10-20,47
2007-10-21 - 2007-10-27,48
2007-10-28 - 2007-11-03,61
2007-11-04 - 2007-11-10,41
2007-11-11 - 2007-11-17,58
2007-11-18 - 2007-11-24,63
2007-11-25 - 2007-12-01,61
2007-12-02 - 2007-12-08,55
2007-12-09 - 2007-12-15,54
2007-12-16 - 2007-12-22,43
2007-12-23 - 2007-12-29,18
2007-12-30 - 2008-01-05,38
2008-01-06 - 2008-01-12,42
2008-01-13 - 2008-01-19,55
2008-01-20 - 2008-01-26,61
2008-01-27 - 2008-02-02,52
2008-02-03 - 2008-02-09,54
2008-02-10 - 2008-02-16,38
2008-02-17 - 2008-02-23,55
2008-02-24 - 2008-03-01,55
2008-03-02 - 2008-03-08,49
2008-03-09 - 2008-03-15,60
2008-03-16 - 2008-03-22,55
2008-03-23 - 2008-03-29,54
2008-03-30 - 2008-04-05,57
2008-04-06 - 2008-04-12,63
2008-04-13 - 2008-04-19,60
2008-04-20 - 2008-04-26,51
2008-04-27 - 2008-05-03,48
2008-05-04 - 2008-05-10,50
2008-05-11 - 2008-05-17,48
2008-05-18 - 2008-05-24,55
2008-05-25 - 2008-05-31,58
2008-06-01 - 2008-06-07,47
2008-06-08 - 2008-06-14,70
2008-06-15 - 2008-06-21,47
2008-06-22 - 2008-06-28,45
2008-06-29 - 2008-07-05,40
2008-07-06 - 2008-07-12,47
2008-07-13 - 2008-07-19,53
2008-07-20 - 2008-07-26,53
2008-07-27 - 2008-08-02,46
2008-08-03 - 2008-08-09,55
2008-08-10 - 2008-08-16,39
2008-08-17 - 2008-08-23,38
2008-08-24 - 2008-08-30,40
2008-08-31 - 2008-09-06,39
2008-09-07 - 2008-09-13,48
2008-09-14 - 2008-09-20,57
2008-09-21 - 2008-09-27,67
2008-09-28 - 2008-10-04,64
2008-10-05 - 2008-10-11,59
2008-10-12 - 2008-10-18,48
2008-10-19 - 2008-10-25,64
2008-10-26 - 2008-11-01,71
2008-11-02 - 2008-11-08,54
2008-11-09 - 2008-11-15,57
2008-11-16 - 2008-11-22,66
2008-11-23 - 2008-11-29,52
2008-11-30 - 2008-12-06,50
2008-12-07 - 2008-12-13,57
2008-12-14 - 2008-12-20,52
2008-12-21 - 2008-12-27,41
2008-12-28 - 2009-01-03,47
2009-01-04 - 2009-01-10,44
2009-01-11 - 2009-01-17,47
2009-01-18 - 2009-01-24,53
2009-01-25 - 2009-01-31,62
2009-02-01 - 2009-02-07,50
2009-02-08 - 2009-02-14,47
2009-02-15 - 2009-02-21,49
2009-02-22 - 2009-02-28,50
2009-03-01 - 2009-03-07,45
2009-03-08 - 2009-03-14,50
2009-03-15 - 2009-03-21,64
2009-03-22 - 2009-03-28,58
2009-03-29 - 2009-04-04,49
2009-04-05 - 2009-04-11,50
2009-04-12 - 2009-04-18,53
2009-04-19 - 2009-04-25,45
2009-04-26 - 2009-05-02,25
2009-05-03 - 2009-05-09,42
2009-05-10 - 2009-05-16,38
2009-05-17 - 2009-05-23,43
2009-05-24 - 2009-05-30,48
2009-05-31 - 2009-06-06,37
2009-06-07 - 2009-06-13,42
2009-06-14 - 2009-06-20,39
2009-06-21 - 2009-06-27,26
2009-06-28 - 2009-07-04,28
2009-07-05 - 2009-07-11,43
2009-07-12 - 2009-07-18,35
2009-07-19 - 2009-07-25,33
2009-07-26 - 2009-08-01,30
2009-08-02 - 2009-08-08,30
2009-08-09 - 2009-08-15,28
2009-08-16 - 2009-08-22,41
2009-08-23 - 2009-08-29,30
2009-08-30 - 2009-09-05,26
2009-09-06 - 2009-09-12,25
2009-09-13 - 2009-09-19,38
2009-09-20 - 2009-09-26,34
2009-09-27 - 2009-10-03,41
2009-10-04 - 2009-10-10,42
2009-10-11 - 2009-10-17,49
2009-10-18 - 2009-10-24,39
2009-10-25 - 2009-10-31,41
2009-11-01 - 2009-11-07,42
2009-11-08 - 2009-11-14,47
2009-11-15 - 2009-11-21,47
2009-11-22 - 2009-11-28,57
2009-11-29 - 2009-12-05,49
2009-12-06 - 2009-12-12,45
2009-12-13 - 2009-12-19,57
2009-12-20 - 2009-12-26,39
2009-12-27 - 2010-01-02,39
2010-01-03 - 2010-01-09,46
2010-01-10 - 2010-01-16,55
2010-01-17 - 2010-01-23,58
2010-01-24 - 2010-01-30,60
2010-01-31 - 2010-02-06,55
2010-02-07 - 2010-02-13,59
2010-02-14 - 2010-02-20,44
2010-02-21 - 2010-02-27,48
2010-02-28 - 2010-03-06,44
2010-03-07 - 2010-03-13,49
2010-03-14 - 2010-03-20,53
2010-03-21 - 2010-03-27,55
2010-03-28 - 2010-04-03,54
2010-04-04 - 2010-04-10,51
2010-04-11 - 2010-04-17,47
2010-04-18 - 2010-04-24,52
2010-04-25 - 2010-05-01,36
2010-05-02 - 2010-05-08,38
2010-05-09 - 2010-05-15,37
2010-05-16 - 2010-05-22,43
2010-05-23 - 2010-05-29,43
2010-05-30 - 2010-06-05,37
2010-06-06 - 2010-06-12,34
2010-06-13 - 2010-06-19,39
2010-06-20 - 2010-06-26,41
2010-06-27 - 2010-07-03,35
2010-07-04 - 2010-07-10,28
2010-07-11 - 2010-07-17,29
2010-07-18 - 2010-07-24,38
2010-07-25 - 2010-07-31,33
2010-08-01 - 2010-08-07,33
2010-08-08 - 2010-08-14,39
2010-08-15 - 2010-08-21,40
2010-08-22 - 2010-08-28,30
2010-08-29 - 2010-09-04,23
2010-09-05 - 2010-09-11,30
2010-09-12 - 2010-09-18,35
2010-09-19 - 2010-09-25,42
2010-09-26 - 2010-10-02,49
2010-10-03 - 2010-10-09,50
2010-10-10 - 2010-10-16,50
2010-10-17 - 2010-10-23,47
2010-10-24 - 2010-10-30,57
2010-10-31 - 2010-11-06,53
2010-11-07 - 2010-11-13,55
2010-11-14 - 2010-11-20,67
2010-11-21 - 2010-11-27,61
2010-11-28 - 2010-12-04,53
2010-12-05 - 2010-12-11,58
2010-12-12 - 2010-12-18,55
2010-12-19 - 2010-12-25,45
2010-12-26 - 2011-01-01,34
2011-01-02 - 2011-01-08,40
2011-01-09 - 2011-01-15,44
2011-01-16 - 2011-01-22,53
2011-01-23 - 2011-01-29,62
2011-01-30 - 2011-02-05,47
2011-02-06 - 2011-02-12,58
2011-02-13 - 2011-02-19,73
2011-02-20 - 2011-02-26,43
2011-02-27 - 2011-03-05,48
2011-03-06 - 2011-03-12,52
2011-03-13 - 2011-03-19,37
2011-03-20 - 2011-03-26,45
2011-03-27 - 2011-04-02,49
2011-04-03 - 2011-04-09,52
2011-04-10 - 2011-04-16,52
2011-04-17 - 2011-04-23,57
2011-04-24 - 2011-04-30,49
2011-05-01 - 2011-05-07,36
2011-05-08 - 2011-05-14,49
2011-05-15 - 2011-05-21,49
2011-05-22 - 2011-05-28,47
2011-05-29 - 2011-06-04,33
2011-06-05 - 2011-06-11,41
2011-06-12 - 2011-06-18,37
2011-06-19 - 2011-06-25,34
2011-06-26 - 2011-07-02,35
2011-07-03 - 2011-07-09,44
2011-07-10 - 2011-07-16,46
2011-07-17 - 2011-07-23,37
2011-07-24 - 2011-07-30,39
2011-07-31 - 2011-08-06,36
2011-08-07 - 2011-08-13,43
2011-08-14 - 2011-08-20,37
2011-08-21 - 2011-08-27,31
2011-08-28 - 2011-09-03,34
2011-09-04 - 2011-09-10,30
2011-09-11 - 2011-09-17,42
2011-09-18 - 2011-09-24,54
2011-09-25 - 2011-10-01,47
2011-10-02 - 2011-10-08,43
2011-10-09 - 2011-10-15,42
2011-10-16 - 2011-10-22,51
2011-10-23 - 2011-10-29,42
2011-10-30 - 2011-11-05,42
2011-11-06 - 2011-11-12,49
2011-11-13 - 2011-11-19,49
2011-11-20 - 2011-11-26,49
2011-11-27 - 2011-12-03,54
2011-12-04 - 2011-12-10,46
2011-12-11 - 2011-12-17,43
2011-12-18 - 2011-12-24,39
2011-12-25 - 2011-12-31,22
2012-01-01 - 2012-01-07,39
2012-01-08 - 2012-01-14,47
2012-01-15 - 2012-01-21,64
2012-01-22 - 2012-01-28,49
2012-01-29 - 2012-02-04,54
2012-02-05 - 2012-02-11,42
2012-02-12 - 2012-02-18,46
2012-02-19 - 2012-02-25,45
2012-02-26 - 2012-03-03,45
2012-03-04 - 2012-03-10,43
2012-03-11 - 2012-03-17,42
2012-03-18 - 2012-03-24,54
2012-03-25 - 2012-03-31,49
2012-04-01 - 2012-04-07,50
2012-04-08 - 2012-04-14,49
2012-04-15 - 2012-04-21,54
2012-04-22 - 2012-04-28,38
2012-04-29 - 2012-05-05,36
2012-05-06 - 2012-05-12,41
2012-05-13 - 2012-05-19,37
2012-05-20 - 2012-05-26,34
2012-05-27 - 2012-06-02,39
2012-06-03 - 2012-06-09,42
2012-06-10 - 2012-06-16,36
2012-06-17 - 2012-06-23,44
2012-06-24 - 2012-06-30,31
2012-07-01 - 2012-07-07,28
2012-07-08 - 2012-07-14,32
2012-07-15 - 2012-07-21,36
2012-07-22 - 2012-07-28,34
2012-07-29 - 2012-08-04,40
2012-08-05 - 2012-08-11,26
2012-08-12 - 2012-08-18,31
2012-08-19 - 2012-08-25,24
2012-08-26 - 2012-09-01,30
2012-09-02 - 2012-09-08,35
2012-09-09 - 2012-09-15,38
2012-09-16 - 2012-09-22,46
2012-09-23 - 2012-09-29,41
2012-09-30 - 2012-10-06,46
2012-10-07 - 2012-10-13,45
