Web Search interest: inflation
United States; 2004 - present

Interest over time
Week,inflation
2004-01-04 - 2004-01-10,66
2004-01-11 - 2004-01-17,76
2004-01-18 - 2004-01-24,70
2004-01-25 - 2004-01-31,60
2004-02-01 - 2004-02-07,75
2004-02-08 - 2004-02-14,82
2004-02-15 - 2004-02-21,66
2004-02-22 - 2004-02-28,73
2004-02-29 - 2004-03-06,77
2004-03-07 - 2004-03-13,68
2004-03-14 - 2004-03-20,72
2004-03-21 - 2004-03-27,64
2004-03-28 - 2004-04-03,83
2004-04-04 - 2004-04-10,78
2004-04-11 - 2004-04-17,78
2004-04-18 - 2004-04-24,96
2004-04-25 - 2004-05-01,90
2004-05-02 - 2004-05-08,98
2004-05-09 - 2004-05-15,98
2004-05-16 - 2004-05-22,86
2004-05-23 - 2004-05-29,72
2004-05-30 - 2004-06-05,71
2004-06-06 - 2004-06-12,78
2004-06-13 - 2004-06-19,61
2004-06-20 - 2004-06-26,63
2004-06-27 - 2004-07-03,55
2004-07-04 - 2004-07-10,54
2004-07-11 - 2004-07-17,69
2004-07-18 - 2004-07-24,60
2004-07-25 - 2004-07-31,64
2004-08-01 - 2004-08-07,56
2004-08-08 - 2004-08-14,60
2004-08-15 - 2004-08-21,55
2004-08-22 - 2004-08-28,58
2004-08-29 - 2004-09-04,53
2004-09-05 - 2004-09-11,67
2004-09-12 - 2004-09-18,63
2004-09-19 - 2004-09-25,72
2004-09-26 - 2004-10-02,81
2004-10-03 - 2004-10-09,70
2004-10-10 - 2004-10-16,68
2004-10-17 - 2004-10-23,64
2004-10-24 - 2004-10-30,71
2004-10-31 - 2004-11-06,59
2004-11-07 - 2004-11-13,75
2004-11-14 - 2004-11-20,92
2004-11-21 - 2004-11-27,87
2004-11-28 - 2004-12-04,94
2004-12-05 - 2004-12-11,72
2004-12-12 - 2004-12-18,76
2004-12-19 - 2004-12-25,45
2004-12-26 - 2005-01-01,37
2005-01-02 - 2005-01-08,65
2005-01-09 - 2005-01-15,56
2005-01-16 - 2005-01-22,78
2005-01-23 - 2005-01-29,64
2005-01-30 - 2005-02-05,73
2005-02-06 - 2005-02-12,77
2005-02-13 - 2005-02-19,71
2005-02-20 - 2005-02-26,79
2005-02-27 - 2005-03-05,87
2005-03-06 - 2005-03-12,74
2005-03-13 - 2005-03-19,63
2005-03-20 - 2005-03-26,78
2005-03-27 - 2005-04-02,71
2005-04-03 - 2005-04-09,76
2005-04-10 - 2005-04-16,82
2005-04-17 - 2005-04-23,85
2005-04-24 - 2005-04-30,93
2005-05-01 - 2005-05-07,79
2005-05-08 - 2005-05-14,76
2005-05-15 - 2005-05-21,68
2005-05-22 - 2005-05-28,59
2005-05-29 - 2005-06-04,60
2005-06-05 - 2005-06-11,62
2005-06-12 - 2005-06-18,58
2005-06-19 - 2005-06-25,62
2005-06-26 - 2005-07-02,65
2005-07-03 - 2005-07-09,57
2005-07-10 - 2005-07-16,50
2005-07-17 - 2005-07-23,47
2005-07-24 - 2005-07-30,54
2005-07-31 - 2005-08-06,53
2005-08-07 - 2005-08-13,65
2005-08-14 - 2005-08-20,64
2005-08-21 - 2005-08-27,64
2005-08-28 - 2005-09-03,61
2005-09-04 - 2005-09-10,58
2005-09-11 - 2005-09-17,63
2005-09-18 - 2005-09-24,75
2005-09-25 - 2005-10-01,72
2005-10-02 - 2005-10-08,75
2005-10-09 - 2005-10-15,88
2005-10-16 - 2005-10-22,77
2005-10-23 - 2005-10-29,84
2005-10-30 - 2005-11-05,80
2005-11-06 - 2005-11-12,74
2005-11-13 - 2005-11-19,80
2005-11-20 - 2005-11-26,61
2005-11-27 - 2005-12-03,83
2005-12-04 - 2005-12-10,75
2005-12-11 - 2005-12-17,73
2005-12-18 - 2005-12-24,62
2005-12-25 - 2005-12-31,51
2006-01-01 - 2006-01-07,60
2006-01-08 - 2006-01-14,64
2006-01-15 - 2006-01-21,58
2006-01-22 - 2006-01-28,64
2006-01-29 - 2006-02-04,75
2006-02-05 - 2006-02-11,65
2006-02-12 - 2006-02-18,71
2006-02-19 - 2006-02-25,60
2006-02-26 - 2006-03-04,65
2006-03-05 - 2006-03-11,64
2006-03-12 - 2006-03-18,63
2006-03-19 - 2006-03-25,72
2006-03-26 - 2006-04-01,71
2006-04-02 - 2006-04-08,68
2006-04-09 - 2006-04-15,72
2006-04-16 - 2006-04-22,82
2006-04-23 - 2006-04-29,94
2006-04-30 - 2006-05-06,81
2006-05-07 - 2006-05-13,78
2006-05-14 - 2006-05-20,76
